Training: 2025-04-05 08:59:23,897-rank_id: 0
Training: 2025-04-05 08:59:24,203-Classes: 2000 synthetic, 0 real - 119992 images - eval: 937
Training: 2025-04-05 08:59:24,503-Total Step is: 37497
Training: 2025-04-05 09:00:28,831-Speed 392.50 samples/sec   Loss 32.0937 Epoch: 0   Global Step: 100   Required: 4 hours
Training: 2025-04-05 09:00:45,190-Speed 391.23 samples/sec   Loss 28.3032 Epoch: 0   Global Step: 150   Required: 4 hours
Training: 2025-04-05 09:01:01,572-Speed 390.68 samples/sec   Loss 25.9415 Epoch: 0   Global Step: 200   Required: 4 hours
Training: 2025-04-05 09:01:17,970-Speed 390.29 samples/sec   Loss 24.0121 Epoch: 0   Global Step: 250   Required: 4 hours
Training: 2025-04-05 09:01:34,376-Speed 390.12 samples/sec   Loss 22.1539 Epoch: 0   Global Step: 300   Required: 3 hours
Training: 2025-04-05 09:01:50,789-Speed 389.93 samples/sec   Loss 20.4948 Epoch: 0   Global Step: 350   Required: 3 hours
Training: 2025-04-05 09:02:07,208-Speed 389.79 samples/sec   Loss 19.0491 Epoch: 0   Global Step: 400   Required: 3 hours
Training: 2025-04-05 09:02:23,623-Speed 389.89 samples/sec   Loss 17.6941 Epoch: 0   Global Step: 450   Required: 3 hours
Training: 2025-04-05 09:02:40,045-Speed 389.74 samples/sec   Loss 16.3650 Epoch: 0   Global Step: 500   Required: 3 hours
Training: 2025-04-05 09:02:56,463-Speed 389.82 samples/sec   Loss 15.5127 Epoch: 0   Global Step: 550   Required: 3 hours
Training: 2025-04-05 09:03:12,881-Speed 389.81 samples/sec   Loss 14.5055 Epoch: 0   Global Step: 600   Required: 3 hours
Training: 2025-04-05 09:03:29,299-Speed 389.82 samples/sec   Loss 13.5984 Epoch: 0   Global Step: 650   Required: 3 hours
Training: 2025-04-05 09:03:45,719-Speed 389.76 samples/sec   Loss 12.9906 Epoch: 0   Global Step: 700   Required: 3 hours
Training: 2025-04-05 09:04:02,141-Speed 389.74 samples/sec   Loss 11.9090 Epoch: 0   Global Step: 750   Required: 3 hours
Training: 2025-04-05 09:04:18,559-Speed 389.81 samples/sec   Loss 11.4151 Epoch: 0   Global Step: 800   Required: 3 hours
Training: 2025-04-05 09:04:34,977-Speed 389.81 samples/sec   Loss 10.7922 Epoch: 0   Global Step: 850   Required: 3 hours
Training: 2025-04-05 09:04:51,397-Speed 389.79 samples/sec   Loss 10.1939 Epoch: 0   Global Step: 900   Required: 3 hours
Training: 2025-04-05 09:05:25,681-[lfw][937]XNorm: 23.395197
Training: 2025-04-05 09:05:25,681-[lfw][937]Accuracy-Flip: 0.77033+-0.01408
Training: 2025-04-05 09:05:25,681-[lfw][937]Accuracy-Highest: 0.77033
Training: 2025-04-05 09:05:51,148-[cfp_fp][937]XNorm: 23.554229
Training: 2025-04-05 09:05:51,148-[cfp_fp][937]Accuracy-Flip: 0.61814+-0.02445
Training: 2025-04-05 09:05:51,148-[cfp_fp][937]Accuracy-Highest: 0.61814
Training: 2025-04-05 09:06:13,036-[agedb_30][937]XNorm: 20.681931
Training: 2025-04-05 09:06:13,036-[agedb_30][937]Accuracy-Flip: 0.50350+-0.01045
Training: 2025-04-05 09:06:13,036-[agedb_30][937]Accuracy-Highest: 0.50350
Training: 2025-04-05 09:06:35,015-[calfw][937]XNorm: 23.810641
Training: 2025-04-05 09:06:35,015-[calfw][937]Accuracy-Flip: 0.60467+-0.01451
Training: 2025-04-05 09:06:35,015-[calfw][937]Accuracy-Highest: 0.60467
Training: 2025-04-05 09:06:56,978-[cplfw][937]XNorm: 21.762290
Training: 2025-04-05 09:06:56,979-[cplfw][937]Accuracy-Flip: 0.60167+-0.01162
