Training: 2025-04-11 08:40:39,696-rank_id: 0
Training: 2025-04-11 08:40:40,218-Classes: 8000 synthetic, 0 real - 479951 images - eval: 3749
Training: 2025-04-11 08:40:40,580-Total Step is: 149984
Training: 2025-04-11 08:41:44,929-Speed 391.12 samples/sec   Loss 35.6724 Epoch: 0   Global Step: 100   Required: 15 hours
Training: 2025-04-11 08:42:01,351-Speed 389.72 samples/sec   Loss 34.7066 Epoch: 0   Global Step: 150   Required: 15 hours
Training: 2025-04-11 08:42:17,807-Speed 388.92 samples/sec   Loss 33.7146 Epoch: 0   Global Step: 200   Required: 14 hours
Training: 2025-04-11 08:42:34,270-Speed 388.76 samples/sec   Loss 32.7699 Epoch: 0   Global Step: 250   Required: 14 hours
Training: 2025-04-11 08:42:50,736-Speed 388.68 samples/sec   Loss 31.5668 Epoch: 0   Global Step: 300   Required: 14 hours
Training: 2025-04-11 08:43:07,202-Speed 388.68 samples/sec   Loss 30.7342 Epoch: 0   Global Step: 350   Required: 14 hours
Training: 2025-04-11 08:43:23,673-Speed 388.57 samples/sec   Loss 29.8066 Epoch: 0   Global Step: 400   Required: 14 hours
Training: 2025-04-11 08:43:40,144-Speed 388.55 samples/sec   Loss 28.8169 Epoch: 0   Global Step: 450   Required: 14 hours
Training: 2025-04-11 08:43:56,615-Speed 388.57 samples/sec   Loss 28.0118 Epoch: 0   Global Step: 500   Required: 14 hours
Training: 2025-04-11 08:44:13,083-Speed 388.63 samples/sec   Loss 27.1705 Epoch: 0   Global Step: 550   Required: 14 hours
Training: 2025-04-11 08:44:29,554-Speed 388.56 samples/sec   Loss 26.3583 Epoch: 0   Global Step: 600   Required: 14 hours
Training: 2025-04-11 08:44:46,024-Speed 388.60 samples/sec   Loss 25.5055 Epoch: 0   Global Step: 650   Required: 14 hours
Training: 2025-04-11 08:45:02,490-Speed 388.67 samples/sec   Loss 24.8677 Epoch: 0   Global Step: 700   Required: 14 hours
Training: 2025-04-11 08:45:18,965-Speed 388.49 samples/sec   Loss 24.1522 Epoch: 0   Global Step: 750   Required: 14 hours
Training: 2025-04-11 08:45:35,432-Speed 388.65 samples/sec   Loss 23.4566 Epoch: 0   Global Step: 800   Required: 14 hours
Training: 2025-04-11 08:45:51,902-Speed 388.60 samples/sec   Loss 22.8779 Epoch: 0   Global Step: 850   Required: 14 hours
Training: 2025-04-11 08:46:08,370-Speed 388.64 samples/sec   Loss 22.3410 Epoch: 0   Global Step: 900   Required: 14 hours
Training: 2025-04-11 08:46:24,838-Speed 388.63 samples/sec   Loss 21.4450 Epoch: 0   Global Step: 950   Required: 14 hours
Training: 2025-04-11 08:46:41,309-Speed 388.57 samples/sec   Loss 21.0895 Epoch: 0   Global Step: 1000   Required: 14 hours
Training: 2025-04-11 08:46:57,780-Speed 388.55 samples/sec   Loss 20.4549 Epoch: 0   Global Step: 1050   Required: 14 hours
Training: 2025-04-11 08:47:14,250-Speed 388.61 samples/sec   Loss 19.7688 Epoch: 0   Global Step: 1100   Required: 14 hours
Training: 2025-04-11 08:47:30,719-Speed 388.59 samples/sec   Loss 19.2196 Epoch: 0   Global Step: 1150   Required: 14 hours
Training: 2025-04-11 08:47:47,183-Speed 388.74 samples/sec   Loss 18.7420 Epoch: 0   Global Step: 1200   Required: 14 hours
Training: 2025-04-11 08:48:03,648-Speed 388.71 samples/sec   Loss 18.2387 Epoch: 0   Global Step: 1250   Required: 14 hours
Training: 2025-04-11 08:48:20,112-Speed 388.74 samples/sec   Loss 17.7583 Epoch: 0   Global Step: 1300   Required: 14 hours
Training: 2025-04-11 08:48:36,571-Speed 388.84 samples/sec   Loss 17.2244 Epoch: 0   Global Step: 1350   Required: 14 hours
Training: 2025-04-11 08:48:53,038-Speed 388.65 samples/sec   Loss 16.7214 Epoch: 0   Global Step: 1400   Required: 14 hours
Training: 2025-04-11 08:49:09,505-Speed 388.67 samples/sec   Loss 16.3093 Epoch: 0   Global Step: 1450   Required: 14 hours
Training: 2025-04-11 08:49:25,975-Speed 388.58 samples/sec   Loss 15.9361 Epoch: 0   Global Step: 1500   Required: 14 hours
Training: 2025-04-11 08:49:42,444-Speed 388.62 samples/sec   Loss 15.5381 Epoch: 0   Global Step: 1550   Required: 14 hours
Training: 2025-04-11 08:49:58,909-Speed 388.70 samples/sec   Loss 15.1745 Epoch: 0   Global Step: 1600   Required: 14 hours
Training: 2025-04-11 08:50:15,376-Speed 388.64 samples/sec   Loss 14.6849 Epoch: 0   Global Step: 1650   Required: 14 hours
Training: 2025-04-11 08:50:31,837-Speed 388.82 samples/sec   Loss 14.3210 Epoch: 0   Global Step: 1700   Required: 14 hours
Training: 2025-04-11 08:50:48,299-Speed 388.77 samples/sec   Loss 13.8630 Epoch: 0   Global Step: 1750   Required: 14 hours
Training: 2025-04-11 08:51:04,762-Speed 388.76 samples/sec   Loss 13.4669 Epoch: 0   Global Step: 1800   Required: 14 hours
Training: 2025-04-11 08:51:21,225-Speed 388.75 samples/sec   Loss 13.2850 Epoch: 0   Global Step: 1850   Required: 14 hours
Training: 2025-04-11 08:51:37,689-Speed 388.73 samples/sec   Loss 12.8046 Epoch: 0   Global Step: 1900   Required: 14 hours
Training: 2025-04-11 08:51:54,151-Speed 388.76 samples/sec   Loss 12.4838 Epoch: 0   Global Step: 1950   Required: 14 hours
Training: 2025-04-11 08:52:10,616-Speed 388.72 samples/sec   Loss 12.1395 Epoch: 0   Global Step: 2000   Required: 14 hours
Training: 2025-04-11 08:52:27,080-Speed 388.72 samples/sec   Loss 11.8533 Epoch: 0   Global Step: 2050   Required: 14 hours
Training: 2025-04-11 08:52:43,540-Speed 388.82 samples/sec   Loss 11.4985 Epoch: 0   Global Step: 2100   Required: 14 hours
Training: 2025-04-11 08:53:00,004-Speed 388.74 samples/sec   Loss 11.2013 Epoch: 0   Global Step: 2150   Required: 14 hours
Training: 2025-04-11 08:53:16,466-Speed 388.78 samples/sec   Loss 10.8167 Epoch: 0   Global Step: 2200   Required: 14 hours
Training: 2025-04-11 08:53:32,925-Speed 388.84 samples/sec   Loss 10.6745 Epoch: 0   Global Step: 2250   Required: 14 hours
Training: 2025-04-11 08:53:49,387-Speed 388.78 samples/sec   Loss 10.4858 Epoch: 0   Global Step: 2300   Required: 14 hours
Training: 2025-04-11 08:54:05,852-Speed 388.72 samples/sec   Loss 10.1098 Epoch: 0   Global Step: 2350   Required: 14 hours
Training: 2025-04-11 08:54:22,312-Speed 388.82 samples/sec   Loss 9.7783 Epoch: 0   Global Step: 2400   Required: 14 hours
Training: 2025-04-11 08:54:38,767-Speed 388.93 samples/sec   Loss 9.5830 Epoch: 0   Global Step: 2450   Required: 14 hours
Training: 2025-04-11 08:54:55,227-Speed 388.83 samples/sec   Loss 9.3142 Epoch: 0   Global Step: 2500   Required: 14 hours
Training: 2025-04-11 08:55:11,687-Speed 388.83 samples/sec   Loss 9.2206 Epoch: 0   Global Step: 2550   Required: 14 hours
Training: 2025-04-11 08:55:28,148-Speed 388.80 samples/sec   Loss 8.9909 Epoch: 0   Global Step: 2600   Required: 14 hours
Training: 2025-04-11 08:55:44,607-Speed 388.84 samples/sec   Loss 8.7206 Epoch: 0   Global Step: 2650   Required: 14 hours
Training: 2025-04-11 08:56:01,067-Speed 388.83 samples/sec   Loss 8.6029 Epoch: 0   Global Step: 2700   Required: 14 hours
Training: 2025-04-11 08:56:17,529-Speed 388.77 samples/sec   Loss 8.3058 Epoch: 0   Global Step: 2750   Required: 14 hours
Training: 2025-04-11 08:56:33,989-Speed 388.82 samples/sec   Loss 8.2699 Epoch: 0   Global Step: 2800   Required: 14 hours
Training: 2025-04-11 08:56:50,450-Speed 388.81 samples/sec   Loss 7.9492 Epoch: 0   Global Step: 2850   Required: 14 hours
Training: 2025-04-11 08:57:06,911-Speed 388.81 samples/sec   Loss 7.5425 Epoch: 0   Global Step: 2900   Required: 13 hours
Training: 2025-04-11 08:57:23,371-Speed 388.82 samples/sec   Loss 7.5997 Epoch: 0   Global Step: 2950   Required: 13 hours
Training: 2025-04-11 08:57:39,828-Speed 388.88 samples/sec   Loss 7.4651 Epoch: 0   Global Step: 3000   Required: 13 hours
Training: 2025-04-11 08:57:56,283-Speed 388.94 samples/sec   Loss 7.2457 Epoch: 0   Global Step: 3050   Required: 13 hours
Training: 2025-04-11 08:58:12,743-Speed 388.84 samples/sec   Loss 7.1133 Epoch: 0   Global Step: 3100   Required: 13 hours
Training: 2025-04-11 08:58:29,201-Speed 388.87 samples/sec   Loss 6.9727 Epoch: 0   Global Step: 3150   Required: 13 hours
Training: 2025-04-11 08:58:45,663-Speed 388.78 samples/sec   Loss 6.8495 Epoch: 0   Global Step: 3200   Required: 13 hours
Training: 2025-04-11 08:59:02,123-Speed 388.82 samples/sec   Loss 6.6263 Epoch: 0   Global Step: 3250   Required: 13 hours
Training: 2025-04-11 08:59:18,584-Speed 388.80 samples/sec   Loss 6.4450 Epoch: 0   Global Step: 3300   Required: 13 hours
Training: 2025-04-11 08:59:35,042-Speed 388.87 samples/sec   Loss 6.3005 Epoch: 0   Global Step: 3350   Required: 13 hours
