Training: 2025-04-11 23:40:20,999-rank_id: 0
Training: 2025-04-11 23:40:21,554-Classes: 8000 synthetic, 0 real - 479948 images - eval: 3749
Training: 2025-04-11 23:40:21,998-Total Step is: 149983
Training: 2025-04-11 23:41:26,543-Speed 391.13 samples/sec   Loss 35.7656 Epoch: 0   Global Step: 100   Required: 15 hours
Training: 2025-04-11 23:41:42,963-Speed 389.76 samples/sec   Loss 34.7480 Epoch: 0   Global Step: 150   Required: 15 hours
Training: 2025-04-11 23:41:59,409-Speed 389.17 samples/sec   Loss 33.6363 Epoch: 0   Global Step: 200   Required: 14 hours
Training: 2025-04-11 23:42:15,868-Speed 388.83 samples/sec   Loss 32.5393 Epoch: 0   Global Step: 250   Required: 14 hours
Training: 2025-04-11 23:42:32,336-Speed 388.64 samples/sec   Loss 31.5942 Epoch: 0   Global Step: 300   Required: 14 hours
Training: 2025-04-11 23:42:48,810-Speed 388.50 samples/sec   Loss 30.5759 Epoch: 0   Global Step: 350   Required: 14 hours
Training: 2025-04-11 23:43:05,286-Speed 388.44 samples/sec   Loss 29.6425 Epoch: 0   Global Step: 400   Required: 14 hours
Training: 2025-04-11 23:43:21,764-Speed 388.39 samples/sec   Loss 28.7924 Epoch: 0   Global Step: 450   Required: 14 hours
Training: 2025-04-11 23:43:38,245-Speed 388.34 samples/sec   Loss 27.8253 Epoch: 0   Global Step: 500   Required: 14 hours
Training: 2025-04-11 23:43:54,731-Speed 388.20 samples/sec   Loss 27.0347 Epoch: 0   Global Step: 550   Required: 14 hours
Training: 2025-04-11 23:44:11,220-Speed 388.15 samples/sec   Loss 26.4706 Epoch: 0   Global Step: 600   Required: 14 hours
Training: 2025-04-11 23:44:27,700-Speed 388.35 samples/sec   Loss 25.4748 Epoch: 0   Global Step: 650   Required: 14 hours
Training: 2025-04-11 23:44:44,183-Speed 388.29 samples/sec   Loss 24.8307 Epoch: 0   Global Step: 700   Required: 14 hours
Training: 2025-04-11 23:45:00,665-Speed 388.30 samples/sec   Loss 24.1866 Epoch: 0   Global Step: 750   Required: 14 hours
Training: 2025-04-11 23:45:17,147-Speed 388.31 samples/sec   Loss 23.3756 Epoch: 0   Global Step: 800   Required: 14 hours
Training: 2025-04-11 23:45:33,624-Speed 388.40 samples/sec   Loss 22.7461 Epoch: 0   Global Step: 850   Required: 14 hours
Training: 2025-04-11 23:45:50,102-Speed 388.40 samples/sec   Loss 22.0955 Epoch: 0   Global Step: 900   Required: 14 hours
Training: 2025-04-11 23:46:06,579-Speed 388.44 samples/sec   Loss 21.5410 Epoch: 0   Global Step: 950   Required: 14 hours
Training: 2025-04-11 23:46:23,060-Speed 388.33 samples/sec   Loss 20.9294 Epoch: 0   Global Step: 1000   Required: 14 hours
Training: 2025-04-11 23:46:39,542-Speed 388.31 samples/sec   Loss 20.3905 Epoch: 0   Global Step: 1050   Required: 14 hours
Training: 2025-04-11 23:46:56,026-Speed 388.26 samples/sec   Loss 19.7738 Epoch: 0   Global Step: 1100   Required: 14 hours
Training: 2025-04-11 23:47:12,508-Speed 388.31 samples/sec   Loss 19.1620 Epoch: 0   Global Step: 1150   Required: 14 hours
Training: 2025-04-11 23:47:28,990-Speed 388.30 samples/sec   Loss 18.6405 Epoch: 0   Global Step: 1200   Required: 14 hours
Training: 2025-04-11 23:47:45,467-Speed 388.41 samples/sec   Loss 18.2126 Epoch: 0   Global Step: 1250   Required: 14 hours
Training: 2025-04-11 23:48:01,948-Speed 388.33 samples/sec   Loss 17.7376 Epoch: 0   Global Step: 1300   Required: 14 hours
Training: 2025-04-11 23:48:18,431-Speed 388.28 samples/sec   Loss 17.2883 Epoch: 0   Global Step: 1350   Required: 14 hours
Training: 2025-04-11 23:48:34,916-Speed 388.24 samples/sec   Loss 16.9356 Epoch: 0   Global Step: 1400   Required: 14 hours
Training: 2025-04-11 23:48:51,403-Speed 388.20 samples/sec   Loss 16.3591 Epoch: 0   Global Step: 1450   Required: 14 hours
Training: 2025-04-11 23:49:07,887-Speed 388.26 samples/sec   Loss 15.9526 Epoch: 0   Global Step: 1500   Required: 14 hours
Training: 2025-04-11 23:49:24,379-Speed 388.07 samples/sec   Loss 15.5097 Epoch: 0   Global Step: 1550   Required: 14 hours
Training: 2025-04-11 23:49:40,862-Speed 388.27 samples/sec   Loss 15.1277 Epoch: 0   Global Step: 1600   Required: 14 hours
Training: 2025-04-11 23:49:57,349-Speed 388.19 samples/sec   Loss 14.5730 Epoch: 0   Global Step: 1650   Required: 14 hours
Training: 2025-04-11 23:50:13,835-Speed 388.22 samples/sec   Loss 14.2000 Epoch: 0   Global Step: 1700   Required: 14 hours
Training: 2025-04-11 23:50:30,328-Speed 388.04 samples/sec   Loss 13.8725 Epoch: 0   Global Step: 1750   Required: 14 hours
Training: 2025-04-11 23:50:46,816-Speed 388.17 samples/sec   Loss 13.4924 Epoch: 0   Global Step: 1800   Required: 14 hours
Training: 2025-04-11 23:51:03,299-Speed 388.28 samples/sec   Loss 13.0467 Epoch: 0   Global Step: 1850   Required: 14 hours
Training: 2025-04-11 23:51:19,776-Speed 388.42 samples/sec   Loss 12.6735 Epoch: 0   Global Step: 1900   Required: 14 hours
Training: 2025-04-11 23:51:36,258-Speed 388.30 samples/sec   Loss 12.4553 Epoch: 0   Global Step: 1950   Required: 14 hours
Training: 2025-04-11 23:51:52,743-Speed 388.23 samples/sec   Loss 12.2270 Epoch: 0   Global Step: 2000   Required: 14 hours
Training: 2025-04-11 23:52:09,222-Speed 388.36 samples/sec   Loss 11.8632 Epoch: 0   Global Step: 2050   Required: 14 hours
Training: 2025-04-11 23:52:25,701-Speed 388.38 samples/sec   Loss 11.4749 Epoch: 0   Global Step: 2100   Required: 14 hours
Training: 2025-04-11 23:52:42,179-Speed 388.41 samples/sec   Loss 11.1131 Epoch: 0   Global Step: 2150   Required: 14 hours
Training: 2025-04-11 23:52:58,659-Speed 388.34 samples/sec   Loss 10.9370 Epoch: 0   Global Step: 2200   Required: 14 hours
Training: 2025-04-11 23:53:15,138-Speed 388.39 samples/sec   Loss 10.6252 Epoch: 0   Global Step: 2250   Required: 14 hours
Training: 2025-04-11 23:53:31,617-Speed 388.37 samples/sec   Loss 10.3876 Epoch: 0   Global Step: 2300   Required: 14 hours
Training: 2025-04-11 23:53:48,095-Speed 388.39 samples/sec   Loss 10.0888 Epoch: 0   Global Step: 2350   Required: 14 hours
Training: 2025-04-11 23:54:04,571-Speed 388.47 samples/sec   Loss 9.8218 Epoch: 0   Global Step: 2400   Required: 14 hours
Training: 2025-04-11 23:54:21,054-Speed 388.26 samples/sec   Loss 9.5398 Epoch: 0   Global Step: 2450   Required: 14 hours
Training: 2025-04-11 23:54:37,537-Speed 388.29 samples/sec   Loss 9.3281 Epoch: 0   Global Step: 2500   Required: 14 hours
Training: 2025-04-11 23:54:54,020-Speed 388.27 samples/sec   Loss 9.0950 Epoch: 0   Global Step: 2550   Required: 14 hours
Training: 2025-04-11 23:55:10,500-Speed 388.37 samples/sec   Loss 8.8428 Epoch: 0   Global Step: 2600   Required: 14 hours
Training: 2025-04-11 23:55:26,977-Speed 388.41 samples/sec   Loss 8.6760 Epoch: 0   Global Step: 2650   Required: 14 hours
Training: 2025-04-11 23:55:43,455-Speed 388.39 samples/sec   Loss 8.5925 Epoch: 0   Global Step: 2700   Required: 14 hours
Training: 2025-04-11 23:55:59,931-Speed 388.45 samples/sec   Loss 8.2820 Epoch: 0   Global Step: 2750   Required: 14 hours
Training: 2025-04-11 23:56:16,410-Speed 388.37 samples/sec   Loss 8.1273 Epoch: 0   Global Step: 2800   Required: 14 hours
Training: 2025-04-11 23:56:32,887-Speed 388.44 samples/sec   Loss 7.7597 Epoch: 0   Global Step: 2850   Required: 14 hours
Training: 2025-04-11 23:56:49,366-Speed 388.37 samples/sec   Loss 7.7726 Epoch: 0   Global Step: 2900   Required: 14 hours
Training: 2025-04-11 23:57:05,846-Speed 388.35 samples/sec   Loss 7.4579 Epoch: 0   Global Step: 2950   Required: 14 hours
Training: 2025-04-11 23:57:22,323-Speed 388.43 samples/sec   Loss 7.2537 Epoch: 0   Global Step: 3000   Required: 13 hours
Training: 2025-04-11 23:57:38,800-Speed 388.41 samples/sec   Loss 7.3028 Epoch: 0   Global Step: 3050   Required: 13 hours
Training: 2025-04-11 23:57:55,282-Speed 388.31 samples/sec   Loss 7.0530 Epoch: 0   Global Step: 3100   Required: 13 hours
Training: 2025-04-11 23:58:11,757-Speed 388.48 samples/sec   Loss 6.9320 Epoch: 0   Global Step: 3150   Required: 13 hours
Training: 2025-04-11 23:58:28,234-Speed 388.42 samples/sec   Loss 6.7212 Epoch: 0   Global Step: 3200   Required: 13 hours
Training: 2025-04-11 23:58:44,708-Speed 388.49 samples/sec   Loss 6.5383 Epoch: 0   Global Step: 3250   Required: 13 hours
Training: 2025-04-11 23:59:01,184-Speed 388.45 samples/sec   Loss 6.3098 Epoch: 0   Global Step: 3300   Required: 13 hours
Training: 2025-04-11 23:59:17,657-Speed 388.53 samples/sec   Loss 6.2278 Epoch: 0   Global Step: 3350   Required: 13 hours
Training: 2025-04-11 23:59:34,132-Speed 388.46 samples/sec   Loss 6.0970 Epoch: 0   Global Step: 3400   Required: 13 hours
Training: 2025-04-11 23:59:50,606-Speed 388.50 samples/sec   Loss 6.0142 Epoch: 0   Global Step: 3450   Required: 13 hours
Training: 2025-04-12 00:00:07,077-Speed 388.56 samples/sec   Loss 5.9184 Epoch: 0   Global Step: 3500   Required: 13 hours
Training: 2025-04-12 00:00:23,550-Speed 388.52 samples/sec   Loss 5.8086 Epoch: 0   Global Step: 3550   Required: 13 hours
Training: 2025-04-12 00:00:40,028-Speed 388.40 samples/sec   Loss 5.6667 Epoch: 0   Global Step: 3600   Required: 13 hours
Training: 2025-04-12 00:00:56,502-Speed 388.49 samples/sec   Loss 5.5878 Epoch: 0   Global Step: 3650   Required: 13 hours
Training: 2025-04-12 00:01:12,979-Speed 388.44 samples/sec   Loss 5.4357 Epoch: 0   Global Step: 3700   Required: 13 hours
Training: 2025-04-12 00:01:51,467-[lfw][3749]XNorm: 20.782304
Training: 2025-04-12 00:01:51,467-[lfw][3749]Accuracy-Flip: 0.79233+-0.01740
Training: 2025-04-12 00:01:51,467-[lfw][3749]Accuracy-Highest: 0.79233
Training: 2025-04-12 00:02:17,062-[cfp_fp][3749]XNorm: 19.440716
Training: 2025-04-12 00:02:17,062-[cfp_fp][3749]Accuracy-Flip: 0.62343+-0.01835
Training: 2025-04-12 00:02:17,062-[cfp_fp][3749]Accuracy-Highest: 0.62343
Training: 2025-04-12 00:02:38,976-[agedb_30][3749]XNorm: 18.420674
Training: 2025-04-12 00:02:38,976-[agedb_30][3749]Accuracy-Flip: 0.52133+-0.02000
Training: 2025-04-12 00:02:38,976-[agedb_30][3749]Accuracy-Highest: 0.52133
Training: 2025-04-12 00:03:01,059-[calfw][3749]XNorm: 21.369494
Training: 2025-04-12 00:03:01,059-[calfw][3749]Accuracy-Flip: 0.63850+-0.01592
Training: 2025-04-12 00:03:01,059-[calfw][3749]Accuracy-Highest: 0.63850
Training: 2025-04-12 00:03:23,192-[cplfw][3749]XNorm: 18.504688
Training: 2025-04-12 00:03:23,193-[cplfw][3749]Accuracy-Flip: 0.62517+-0.01467
Training: 2025-04-12 00:03:23,193-[cplfw][3749]Accuracy-Highest: 0.62517
Training: 2025-04-12 00:03:23,743-Speed 48.94 samples/sec   Loss 5.3018 Epoch: 1   Global Step: 3750   Required: 15 hours
Training: 2025-04-12 00:03:40,206-Speed 388.74 samples/sec   Loss 4.7727 Epoch: 1   Global Step: 3800   Required: 15 hours
Training: 2025-04-12 00:03:56,677-Speed 388.58 samples/sec   Loss 4.7519 Epoch: 1   Global Step: 3850   Required: 15 hours
Training: 2025-04-12 00:04:13,152-Speed 388.48 samples/sec   Loss 4.5395 Epoch: 1   Global Step: 3900   Required: 15 hours
Training: 2025-04-12 00:04:29,628-Speed 388.43 samples/sec   Loss 4.5466 Epoch: 1   Global Step: 3950   Required: 15 hours
Training: 2025-04-12 00:04:46,111-Speed 388.29 samples/sec   Loss 4.5749 Epoch: 1   Global Step: 4000   Required: 15 hours
Training: 2025-04-12 00:05:02,593-Speed 388.31 samples/sec   Loss 4.4953 Epoch: 1   Global Step: 4050   Required: 15 hours
Training: 2025-04-12 00:05:19,076-Speed 388.27 samples/sec   Loss 4.5041 Epoch: 1   Global Step: 4100   Required: 15 hours
Training: 2025-04-12 00:05:35,557-Speed 388.34 samples/sec   Loss 4.4209 Epoch: 1   Global Step: 4150   Required: 14 hours
Training: 2025-04-12 00:05:52,038-Speed 388.32 samples/sec   Loss 4.3165 Epoch: 1   Global Step: 4200   Required: 14 hours
Training: 2025-04-12 00:06:08,517-Speed 388.38 samples/sec   Loss 4.2724 Epoch: 1   Global Step: 4250   Required: 14 hours
Training: 2025-04-12 00:06:24,999-Speed 388.31 samples/sec   Loss 4.2692 Epoch: 1   Global Step: 4300   Required: 14 hours
Training: 2025-04-12 00:06:41,476-Speed 388.42 samples/sec   Loss 4.2398 Epoch: 1   Global Step: 4350   Required: 14 hours
Training: 2025-04-12 00:06:57,957-Speed 388.33 samples/sec   Loss 4.1032 Epoch: 1   Global Step: 4400   Required: 14 hours
Training: 2025-04-12 00:07:14,435-Speed 388.40 samples/sec   Loss 4.1126 Epoch: 1   Global Step: 4450   Required: 14 hours
Training: 2025-04-12 00:07:30,920-Speed 388.24 samples/sec   Loss 4.0459 Epoch: 1   Global Step: 4500   Required: 14 hours
Training: 2025-04-12 00:07:47,403-Speed 388.28 samples/sec   Loss 3.9469 Epoch: 1   Global Step: 4550   Required: 14 hours
Training: 2025-04-12 00:08:03,886-Speed 388.29 samples/sec   Loss 3.8794 Epoch: 1   Global Step: 4600   Required: 14 hours
Training: 2025-04-12 00:08:20,368-Speed 388.31 samples/sec   Loss 3.9061 Epoch: 1   Global Step: 4650   Required: 14 hours
