Training: 2025-04-10 02:42:10,402-rank_id: 0
Training: 2025-04-10 02:42:11,004-Classes: 8000 synthetic, 0 real - 479953 images - eval: 3749
Training: 2025-04-10 02:42:11,356-Total Step is: 149985
Training: 2025-04-10 02:43:16,018-Speed 390.75 samples/sec   Loss 35.6542 Epoch: 0   Global Step: 100   Required: 15 hours
Training: 2025-04-10 02:43:32,458-Speed 389.33 samples/sec   Loss 34.6314 Epoch: 0   Global Step: 150   Required: 15 hours
Training: 2025-04-10 02:43:48,918-Speed 388.83 samples/sec   Loss 33.6846 Epoch: 0   Global Step: 200   Required: 14 hours
Training: 2025-04-10 02:44:05,388-Speed 388.60 samples/sec   Loss 32.5156 Epoch: 0   Global Step: 250   Required: 14 hours
Training: 2025-04-10 02:44:21,859-Speed 388.56 samples/sec   Loss 31.4417 Epoch: 0   Global Step: 300   Required: 14 hours
Training: 2025-04-10 02:44:38,324-Speed 388.69 samples/sec   Loss 30.4820 Epoch: 0   Global Step: 350   Required: 14 hours
Training: 2025-04-10 02:44:54,803-Speed 388.38 samples/sec   Loss 29.5815 Epoch: 0   Global Step: 400   Required: 14 hours
Training: 2025-04-10 02:45:11,279-Speed 388.46 samples/sec   Loss 28.6822 Epoch: 0   Global Step: 450   Required: 14 hours
Training: 2025-04-10 02:45:27,755-Speed 388.43 samples/sec   Loss 27.7388 Epoch: 0   Global Step: 500   Required: 14 hours
Training: 2025-04-10 02:45:44,231-Speed 388.46 samples/sec   Loss 26.9547 Epoch: 0   Global Step: 550   Required: 14 hours
Training: 2025-04-10 02:46:00,712-Speed 388.32 samples/sec   Loss 26.0707 Epoch: 0   Global Step: 600   Required: 14 hours
Training: 2025-04-10 02:46:17,194-Speed 388.30 samples/sec   Loss 25.3713 Epoch: 0   Global Step: 650   Required: 14 hours
Training: 2025-04-10 02:46:33,670-Speed 388.45 samples/sec   Loss 24.5946 Epoch: 0   Global Step: 700   Required: 14 hours
Training: 2025-04-10 02:46:50,156-Speed 388.24 samples/sec   Loss 23.8253 Epoch: 0   Global Step: 750   Required: 14 hours
Training: 2025-04-10 02:47:06,636-Speed 388.34 samples/sec   Loss 23.2737 Epoch: 0   Global Step: 800   Required: 14 hours
Training: 2025-04-10 02:47:23,115-Speed 388.40 samples/sec   Loss 22.6216 Epoch: 0   Global Step: 850   Required: 14 hours
Training: 2025-04-10 02:47:39,597-Speed 388.30 samples/sec   Loss 21.8346 Epoch: 0   Global Step: 900   Required: 14 hours
Training: 2025-04-10 02:47:56,076-Speed 388.37 samples/sec   Loss 21.3808 Epoch: 0   Global Step: 950   Required: 14 hours
Training: 2025-04-10 02:48:12,554-Speed 388.40 samples/sec   Loss 20.7947 Epoch: 0   Global Step: 1000   Required: 14 hours
Training: 2025-04-10 02:48:29,030-Speed 388.46 samples/sec   Loss 20.1322 Epoch: 0   Global Step: 1050   Required: 14 hours
Training: 2025-04-10 02:48:45,510-Speed 388.34 samples/sec   Loss 19.5081 Epoch: 0   Global Step: 1100   Required: 14 hours
Training: 2025-04-10 02:49:01,985-Speed 388.46 samples/sec   Loss 19.1568 Epoch: 0   Global Step: 1150   Required: 14 hours
