Training: 2025-04-09 03:36:56,908-rank_id: 0
Training: 2025-04-09 03:36:57,451-Classes: 6000 synthetic, 0 real - 359958 images - eval: 2812
Training: 2025-04-09 03:36:57,794-Total Step is: 112486
Training: 2025-04-09 03:38:02,523-Speed 391.64 samples/sec   Loss 35.2153 Epoch: 0   Global Step: 100   Required: 11 hours
Training: 2025-04-09 03:38:18,924-Speed 390.21 samples/sec   Loss 33.6047 Epoch: 0   Global Step: 150   Required: 11 hours
Training: 2025-04-09 03:38:35,345-Speed 389.75 samples/sec   Loss 32.3446 Epoch: 0   Global Step: 200   Required: 11 hours
Training: 2025-04-09 03:38:51,779-Speed 389.44 samples/sec   Loss 31.1290 Epoch: 0   Global Step: 250   Required: 11 hours
Training: 2025-04-09 03:39:08,216-Speed 389.38 samples/sec   Loss 29.8912 Epoch: 0   Global Step: 300   Required: 11 hours
Training: 2025-04-09 03:39:24,658-Speed 389.24 samples/sec   Loss 28.7390 Epoch: 0   Global Step: 350   Required: 11 hours
Training: 2025-04-09 03:39:41,106-Speed 389.12 samples/sec   Loss 27.7391 Epoch: 0   Global Step: 400   Required: 10 hours
Training: 2025-04-09 03:39:57,558-Speed 389.01 samples/sec   Loss 26.7122 Epoch: 0   Global Step: 450   Required: 10 hours
Training: 2025-04-09 03:40:14,011-Speed 388.98 samples/sec   Loss 25.8664 Epoch: 0   Global Step: 500   Required: 10 hours
Training: 2025-04-09 03:40:30,467-Speed 388.92 samples/sec   Loss 24.9645 Epoch: 0   Global Step: 550   Required: 10 hours
Training: 2025-04-09 03:40:46,923-Speed 388.94 samples/sec   Loss 24.0410 Epoch: 0   Global Step: 600   Required: 10 hours
Training: 2025-04-09 03:41:03,380-Speed 388.88 samples/sec   Loss 23.1713 Epoch: 0   Global Step: 650   Required: 10 hours
Training: 2025-04-09 03:41:19,839-Speed 388.86 samples/sec   Loss 22.4142 Epoch: 0   Global Step: 700   Required: 10 hours
Training: 2025-04-09 03:41:36,300-Speed 388.80 samples/sec   Loss 21.6494 Epoch: 0   Global Step: 750   Required: 10 hours
Training: 2025-04-09 03:41:52,754-Speed 388.95 samples/sec   Loss 20.9233 Epoch: 0   Global Step: 800   Required: 10 hours
Training: 2025-04-09 03:42:09,216-Speed 388.79 samples/sec   Loss 20.2284 Epoch: 0   Global Step: 850   Required: 10 hours
Training: 2025-04-09 03:42:25,678-Speed 388.79 samples/sec   Loss 19.5354 Epoch: 0   Global Step: 900   Required: 10 hours
Training: 2025-04-09 03:42:42,137-Speed 388.84 samples/sec   Loss 18.7941 Epoch: 0   Global Step: 950   Required: 10 hours
Training: 2025-04-09 03:42:58,590-Speed 389.00 samples/sec   Loss 18.3003 Epoch: 0   Global Step: 1000   Required: 10 hours
Training: 2025-04-09 03:43:15,048-Speed 388.87 samples/sec   Loss 17.5690 Epoch: 0   Global Step: 1050   Required: 10 hours
Training: 2025-04-09 03:43:31,506-Speed 388.87 samples/sec   Loss 17.1501 Epoch: 0   Global Step: 1100   Required: 10 hours
Training: 2025-04-09 03:43:47,958-Speed 389.02 samples/sec   Loss 16.5937 Epoch: 0   Global Step: 1150   Required: 10 hours
Training: 2025-04-09 03:44:04,411-Speed 388.98 samples/sec   Loss 16.0849 Epoch: 0   Global Step: 1200   Required: 10 hours
Training: 2025-04-09 03:44:20,862-Speed 389.04 samples/sec   Loss 15.5438 Epoch: 0   Global Step: 1250   Required: 10 hours
Training: 2025-04-09 03:44:37,319-Speed 388.89 samples/sec   Loss 15.0527 Epoch: 0   Global Step: 1300   Required: 10 hours
Training: 2025-04-09 03:44:53,776-Speed 388.90 samples/sec   Loss 14.5906 Epoch: 0   Global Step: 1350   Required: 10 hours
Training: 2025-04-09 03:45:10,229-Speed 388.98 samples/sec   Loss 14.0889 Epoch: 0   Global Step: 1400   Required: 10 hours
Training: 2025-04-09 03:45:26,679-Speed 389.08 samples/sec   Loss 13.6040 Epoch: 0   Global Step: 1450   Required: 10 hours
Training: 2025-04-09 03:45:43,130-Speed 389.02 samples/sec   Loss 13.2993 Epoch: 0   Global Step: 1500   Required: 10 hours
Training: 2025-04-09 03:45:59,583-Speed 389.01 samples/sec   Loss 12.8744 Epoch: 0   Global Step: 1550   Required: 10 hours
Training: 2025-04-09 03:46:16,032-Speed 389.08 samples/sec   Loss 12.5089 Epoch: 0   Global Step: 1600   Required: 10 hours
Training: 2025-04-09 03:46:32,485-Speed 389.00 samples/sec   Loss 12.2398 Epoch: 0   Global Step: 1650   Required: 10 hours
Training: 2025-04-09 03:46:48,937-Speed 389.01 samples/sec   Loss 11.6949 Epoch: 0   Global Step: 1700   Required: 10 hours
Training: 2025-04-09 03:47:05,388-Speed 389.04 samples/sec   Loss 11.3595 Epoch: 0   Global Step: 1750   Required: 10 hours
Training: 2025-04-09 03:47:21,839-Speed 389.04 samples/sec   Loss 11.0404 Epoch: 0   Global Step: 1800   Required: 10 hours
Training: 2025-04-09 03:47:38,291-Speed 389.02 samples/sec   Loss 10.6870 Epoch: 0   Global Step: 1850   Required: 10 hours
Training: 2025-04-09 03:47:54,742-Speed 389.03 samples/sec   Loss 10.4173 Epoch: 0   Global Step: 1900   Required: 10 hours
Training: 2025-04-09 03:48:11,189-Speed 389.12 samples/sec   Loss 10.1447 Epoch: 0   Global Step: 1950   Required: 10 hours
Training: 2025-04-09 03:48:27,641-Speed 389.02 samples/sec   Loss 9.6907 Epoch: 0   Global Step: 2000   Required: 10 hours
Training: 2025-04-09 03:48:44,099-Speed 388.88 samples/sec   Loss 9.5402 Epoch: 0   Global Step: 2050   Required: 10 hours
Training: 2025-04-09 03:49:00,556-Speed 388.91 samples/sec   Loss 9.1419 Epoch: 0   Global Step: 2100   Required: 10 hours
Training: 2025-04-09 03:49:17,011-Speed 388.94 samples/sec   Loss 8.9353 Epoch: 0   Global Step: 2150   Required: 10 hours
Training: 2025-04-09 03:49:33,472-Speed 388.79 samples/sec   Loss 8.7245 Epoch: 0   Global Step: 2200   Required: 10 hours
Training: 2025-04-09 03:49:49,930-Speed 388.88 samples/sec   Loss 8.3466 Epoch: 0   Global Step: 2250   Required: 10 hours
Training: 2025-04-09 03:50:06,387-Speed 388.89 samples/sec   Loss 8.1785 Epoch: 0   Global Step: 2300   Required: 10 hours
