Training: 2025-04-09 15:09:23,895-rank_id: 0
Training: 2025-04-09 15:09:24,485-Classes: 6000 synthetic, 0 real - 359971 images - eval: 2812
Training: 2025-04-09 15:09:24,834-Total Step is: 112490
Training: 2025-04-09 15:10:28,877-Speed 391.53 samples/sec   Loss 35.1917 Epoch: 0   Global Step: 100   Required: 11 hours
Training: 2025-04-09 15:10:45,274-Speed 390.32 samples/sec   Loss 33.7263 Epoch: 0   Global Step: 150   Required: 11 hours
Training: 2025-04-09 15:11:01,703-Speed 389.55 samples/sec   Loss 32.3822 Epoch: 0   Global Step: 200   Required: 11 hours
Training: 2025-04-09 15:11:18,141-Speed 389.35 samples/sec   Loss 31.1328 Epoch: 0   Global Step: 250   Required: 11 hours
Training: 2025-04-09 15:11:34,587-Speed 389.15 samples/sec   Loss 29.9416 Epoch: 0   Global Step: 300   Required: 11 hours
Training: 2025-04-09 15:11:51,037-Speed 389.06 samples/sec   Loss 28.9318 Epoch: 0   Global Step: 350   Required: 11 hours
Training: 2025-04-09 15:12:07,495-Speed 388.87 samples/sec   Loss 27.8125 Epoch: 0   Global Step: 400   Required: 10 hours
Training: 2025-04-09 15:12:23,952-Speed 388.90 samples/sec   Loss 26.7888 Epoch: 0   Global Step: 450   Required: 10 hours
Training: 2025-04-09 15:12:40,415-Speed 388.76 samples/sec   Loss 25.9190 Epoch: 0   Global Step: 500   Required: 10 hours
Training: 2025-04-09 15:12:56,878-Speed 388.76 samples/sec   Loss 24.9413 Epoch: 0   Global Step: 550   Required: 10 hours
Training: 2025-04-09 15:13:13,340-Speed 388.77 samples/sec   Loss 24.0277 Epoch: 0   Global Step: 600   Required: 10 hours
Training: 2025-04-09 15:13:29,799-Speed 388.84 samples/sec   Loss 23.1348 Epoch: 0   Global Step: 650   Required: 10 hours
Training: 2025-04-09 15:13:46,262-Speed 388.76 samples/sec   Loss 22.3746 Epoch: 0   Global Step: 700   Required: 10 hours
Training: 2025-04-09 15:14:02,721-Speed 388.86 samples/sec   Loss 21.5391 Epoch: 0   Global Step: 750   Required: 10 hours
Training: 2025-04-09 15:14:19,179-Speed 388.87 samples/sec   Loss 20.8210 Epoch: 0   Global Step: 800   Required: 10 hours
Training: 2025-04-09 15:14:35,638-Speed 388.84 samples/sec   Loss 20.1687 Epoch: 0   Global Step: 850   Required: 10 hours
Training: 2025-04-09 15:14:52,094-Speed 388.93 samples/sec   Loss 19.4492 Epoch: 0   Global Step: 900   Required: 10 hours
Training: 2025-04-09 15:15:08,558-Speed 388.73 samples/sec   Loss 18.9014 Epoch: 0   Global Step: 950   Required: 10 hours
Training: 2025-04-09 15:15:25,015-Speed 388.89 samples/sec   Loss 18.2166 Epoch: 0   Global Step: 1000   Required: 10 hours
Training: 2025-04-09 15:15:41,469-Speed 388.97 samples/sec   Loss 17.6104 Epoch: 0   Global Step: 1050   Required: 10 hours
Training: 2025-04-09 15:15:57,922-Speed 388.99 samples/sec   Loss 17.1332 Epoch: 0   Global Step: 1100   Required: 10 hours
Training: 2025-04-09 15:16:14,379-Speed 388.89 samples/sec   Loss 16.5548 Epoch: 0   Global Step: 1150   Required: 10 hours
Training: 2025-04-09 15:16:30,832-Speed 388.97 samples/sec   Loss 15.9853 Epoch: 0   Global Step: 1200   Required: 10 hours
